No,FECHA ,ALCALDÍA,GIRO,DENOMINACIÓN,DILIGENCIA
31,4/22/2020,CUAUHTEMOC,TELAS,LA GÜERITA,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
32,4/23/2020,IZTAPALAPA,VENTA DE TELAS,MODATELAS S.A DE C.V.,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
33,4/23/2020,CUAUHTEMOC,"VENTA DE BOLSAS, MOCHILAS Y MAQUILLAJE",SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
34,4/23/2020,CUAUHTEMOC,VENTA DE ROPA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
35,4/23/2020,IZTAPALAPA,VENTA DE TELAS,MODATELAS,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
36,4/24/2020,LA MAGDALENA CONTRERAS,SALONES DE BELLEZA Y PELUQUERIAS,LOVE,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
37,4/24/2020,CUAUHTEMOC,VENTA DE BISUTERIA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
38,4/24/2020,CUAUHTEMOC,VENTA DE BISUTERIA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
39,4/24/2020,CUAUHTEMOC,VENTA DE BISUTERIA,SIN DENOMINACIÓN,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
40,4/24/2020,BENITO JUAREZ,VENTA DE COLCHONES,DORMIMUNDO,IMPLEMENTACIÓN DE MEDIDAS CAUTELARES CONSISTENTE EN SUSPENSIÓN DE ACTIVIDADES
